facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id,department_name,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants
1281,Pier 23 - Bulkhead/Shed Building,The Embarcadero,San Francisco,94111,9900501,Own,46,Port,100567,-122.3995444,37.80374697,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.803746972', 'longitude': '-122.399544392'}",3,
,,,,,,,,,,,,,,
3236,490 South Van Ness Ave Housing,490 South Van Ness Ave,San Francisco,94103,3553008,Own,103,Mayor,0,-122.4177387,37.76547276,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.765472757', 'longitude': '-122.417738687'}",9,
,,,,,,,,,,,,,,
746,Forest Knolls Pump Station,10 Christopher Dr,San Francisco,94131,2634A011,Lease,9,Non-City,,-122.4547504,37.75710392,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.757103922', 'longitude': '-122.454750429'}",7,Public Utilities Commission
,,,,,,,,,,,,,,
1298,Pier 96 - Storage,1000 Amador St,San Francisco,94124,4502A002,Own,46,Port,1922,-122.3777974,37.74383117,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.743831172', 'longitude': '-122.377797369'}",10,
,,,,,,,,,,,,,,
875,Holly Park Bathrooms,Holly Park Cir & Highland Ave,San Francisco,94110,PARKHOLL,Own,49,Recreation And Parks,420,-122.4200568,37.73676542,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.736765424', 'longitude': '-122.420056762'}",9,
,,,,,,,,,,,,,,
954,Julius Kahn Clubhouse,3550 West Pacific Ave,San Francisco,94118,1300001,Lease,9,Non-City,,-122.4541949,37.79108569,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.791085689', 'longitude': '-122.454194879'}",2,Recreation And Parks
,,,,,,,,,,,,,,
3075,Palace Of Fine Arts - Rotunda,3601 Lyon St,San Francisco,94123,916002,Own,49,Recreation And Parks,,-122.4484143,37.80289855,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.802898551', 'longitude': '-122.448414291'}",2,
,,,,,,,,,,,,,,
1333,Potrero Hill Restrooms,801 Arkansas St,San Francisco,94107,4163001,Own,49,Recreation And Parks,,-122.3970026,37.75606653,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.75606653', 'longitude': '-122.397002595'}",10,
,,,,,,,,,,,,,,
1569,SFUSD -- Children's Center Administration Building,20 Cook St,San Francisco,94118,1067001A,Own,16,School District (Sfusd),,-122.4522826,37.78339972,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.783399718', 'longitude': '-122.452282626'}",2,
,,,,,,,,,,,,,,
1344,Presidio Middle,450 30th Ave,San Francisco,94121,1461001,Own,16,School District (Sfusd),140000,-122.4896271,37.78086474,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.780864737', 'longitude': '-122.489627111'}",1,
,,,,,,,,,,,,,,
507,Commodore Stockton CDC,1 Trenton St,San Francisco,94108,192006,Own,16,School District (Sfusd),21255,-122.4090864,37.79504528,"{'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False, 'latitude': '37.795045281', 'longitude': '-122.409086414'}",3,
,,,,,,,,,,,,,,
